subtopic_id,Subtopic,internal_id,Indicator,short_name,label,description,message
95,Alcohol Access,2057,Alcohol access (youth),Alcohol access (youth),Alcohol access (youth),Greater alcohol outlet density has been associated with a variety of health effects.,
97,Alcohol Use,2050,Heavy drinking (adults),Heavy drinking (adults),Heavy drinking (adults),Heavy drinking is having more than 2 drinks per day (men) or more than 1 drink per day ( women). ,
97,Alcohol Use,2051,Binge drinking (adults),Binge drinking (adults),Binge drinking (adults),"Binge drinking is having 5 or more drinks on one occasion, and as of 2011, 4 or more drinks for women. ",
97,Alcohol Use,2056,Underage drinking,Underage drinking,Underage drinking,Public high school students who report having at least 1 drink in the past 30 days.,
97,Alcohol Use,2055,Binge drinking (youth),Binge drinking (youth),Binge drinking (youth),Public high school students who reported having 5 or more drinks in a row in the past 30 days.,
11,Asthma,2414,Adults with asthma,Adults with asthma,Adults with asthma,Asthma is a common disease characterized by breathing difficulty. Poor air quality and housing issues  increase risk of  developing and triggering asthma.,
11,Asthma,18,Adults with asthma (past 12 months),Asthma (adults),Adults with asthma (past 12 months),Asthma is a common disease characterized by breathing difficulty. Poor air quality and housing issues  increase risk of  developing and triggering asthma.,
11,Asthma,2380,Asthma emegency department visits (adults),Asthma ED visits (adults),Adults,"Severe asthma attacks can result in a visit to the ED. Things like smoke, air pollution, dust mites, cockroaches, mold, pollen and pet dander can trigger asthma.",
11,Asthma,2384,"Asthma emegency department visits (adults), by NTA","Asthma ED visits (adults, NTA)",Adults (by NTA),"Severe asthma attacks can result in a visit to the ED. Things like smoke, air pollution, dust mites, cockroaches, mold, pollen and pet dander can trigger asthma.",
11,Asthma,2048,Asthma emergency department visits (age 4 and under),Asthma ED visits (age 4 and under),Children (4 and under),"Severe asthma attacks can result in a visit to the ED. Things like smoke, air pollution, dust mites, cockroaches, mold, pollen and pet dander can trigger asthma.",
11,Asthma,2378,"Asthma emergency department visits (age 4 and under), by NTA","Asthma ED visits (age 4 and under), by NTA","Children (4 and under), by NTA","Severe asthma attacks can result in a visit to the ED. Things like smoke, air pollution, dust mites, cockroaches, mold, pollen and pet dander can trigger asthma.",
11,Asthma,2379,Asthma emergency department visits (age 5 to 17),Asthma ED visits (age 5 to 17),Children (age 5 to 17),"Severe asthma attacks can result in a visit to the ED. Things like smoke, air pollution, dust mites, cockroaches, mold, pollen and pet dander can trigger asthma.",
11,Asthma,2383,"Asthma emergency department visits (age 5 to 17), by NTA","Asthma ED visits (age 5 to 17), by NTA","Children (age 5 to 17), by NTA","Severe asthma attacks can result in a visit to the ED. Things like smoke, air pollution, dust mites, cockroaches, mold, pollen and pet dander can trigger asthma.",
11,Asthma,2382,Asthma hospitalizations (adults),Asthma hospitalizations (adults),Adults,"Asthma hospitalizations are more severe asthma outcomes. They're often clustered in high-poverty neighborhoods, where disinvestment and poor housing conditions expose residents to triggers.",
11,Asthma,2387,"Asthma hospitalizations (adults), by NTA","Asthma hospitalizations (adults), by NTA",Adults (by NTA),"Asthma hospitalizations are more severe asthma outcomes. They're often clustered in high-poverty neighborhoods, where disinvestment and poor housing conditions expose residents to triggers.",
11,Asthma,84,Asthma hospitalizations (age 4 and under),Asthma hospitalizations (age 4 and under),Children (4 and under),"Asthma hospitalizations are more severe asthma outcomes. They're often clustered in high-poverty neighborhoods, where disinvestment and poor housing conditions expose residents to triggers.",
11,Asthma,2381,Asthma hospitalizations (age 5 to 17),Asthma hospitalizations (age 5 to 17),Children (age 5 to 17),"Asthma hospitalizations are more severe asthma outcomes. They're often clustered in high-poverty neighborhoods, where disinvestment and poor housing conditions expose residents to triggers.",
11,Asthma,2386,"Asthma hospitalizations (age 5 to 17), by NTA","Asthma hospitalizations (age 5 to 17), by NTA","Children (age 5 to 17), by NTA","Asthma hospitalizations are more severe asthma outcomes. They're often clustered in high-poverty neighborhoods, where disinvestment and poor housing conditions expose residents to triggers.",
11,Asthma,2392,Children with asthma,Children with asthma,Children with asthma,Children age 13 and under who have ever been diagnosed with asthma.,
11,Asthma,2317,Jail Incarceration,,Jail Incarceration,"<p>Each component of the criminal justice continuum - from arrest to re-entry - carries various health consequences, and a growing body of literature has documented severe adverse health outcomes associated with incarceration on the individual, their families, and neighbourhoods.&nbsp;</p>",
,,,,,,"<p>(<a class=""exitlink"" href=""http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)30569-X/abstract"">""Structural Racism and Health Inequities in the USA: Evidence and Interventions&rdquo;</a><span>, by Zinzi D Bailey, ScD; Professor Nancy Krieger, PhD; Madina Ag&eacute;nor, ScD; Jasmine Graves, MPH; Natalia Linos, ScD; and Dr. Mary T. Bassett, MD)</span>&nbsp;</p>",
11,Asthma,2147,Asthma in public school children (age 5 to 14),Asthma (public school children),Asthma in public school children (age 5 to 14),Asthma is a common disease characterized by breathing difficulty. Poor air quality and housing issues  increase risk of  developing and triggering asthma.,
11,Asthma,2149,Persistent asthma in public school children (age 5 to 14),Persistent asthma (public school children),Persistent asthma in public school children (age 5 to 14),Persistent asthma is when symptom occur more than twice per week.,
11,Asthma,2339,Youth asthma (past 12 months),Asthma (youth),Youth asthma (past 12 months),Public high school students who reported having an asthma attack in the past 12 months.,
92,Bed Bugs,2030,Homes with bed bugs,Bed bugs,Homes with bed bugs,"Estimated number of adults reporting a problem with bed bugs that required an exterminator, in the past 12 months.",
16,Birth Defects,26,Anencephaly,Anencephaly,Anencephaly,Anencephaly is a serious birth defect in which a baby is born without parts of the brain and skull.,
16,Birth Defects,30,Cleft lip (with or without cleft palate),Cleft lip,Cleft lip (with or without cleft palate),Cleft lip is a birth defect that occurs when a baby’s lip does not form properly during pregnancy.,
16,Birth Defects,31,Cleft palate (without cleft lip),Cleft palate,Cleft palate (without cleft lip),Cleft palate is a birth defect that occurs when a baby’s mouth does not form properly during pregnancy.,
16,Birth Defects,36,Down Syndrome (Mother under age 35),Down syndrome,Down Syndrome (Mother under age 35),"Down syndrome is a condition in which a person has an extra chromosome. It causes delays in physical growth, and intellectual disabilities.",
16,Birth Defects,37,Down Syndrome (Mother age 35 and up),Down syndrome,Down Syndrome (Mother age 35 and up),"Down syndrome is a condition in which a person has an extra chromosome. It causes delays in physical growth, and intellectual disabilities.",
16,Birth Defects,33,Gastroschisis,Gastroschisis,Gastroschisis,A birth defect where there is a hole beside the belly button and the baby’s intestines or other organs are outside the baby’s body.,
16,Birth Defects,28,Hypoplastic left heart syndrome,Hypoplastic left heart syndrome,Hypoplastic left heart syndrome,A rare birth defect where part of the heart is underdeveloped.,
16,Birth Defects,32,Hypospadias,Hypospadias,Hypospadias,A birth defect in male babies where the urethra opening is not at the tip of the penis.,
16,Birth Defects,35,Lower limb Deficiencies,Lower limb deficiencies,Lower limb Deficiencies,"Lower limb deficiencies include undergrowth, overgrowth, failure of formation, and other variations or deficiencies in the lower limbs.",
16,Birth Defects,27,Spina bifida (without anencephaly),Spina bifida,Spina bifida (without anencephaly),Spina bifida is a neural tube defect that can cause cause physical and intellectual disabilities.,
16,Birth Defects,101,Tetralogy of Fallot,Tetralogy of Fallot,Tetralogy of Fallot,Tetralogy of Fallot is a congenital heart defect that affects how blood flows through the heart.,
16,Birth Defects,29,Transposition of the great arteries (vessels),TGA,Transposition of the great arteries (vessels),Transposition of the great arteries or vessels is a congenital heart defect that involves abnormal arrangement of parts of the heart.,
16,Birth Defects,34,Upper limb deficiencies,Upper limb deficiencies,Upper limb deficiencies,"Upper limb deficiencies include undergrowth, overgrowth, failure of formation, and other variations or deficiencies in the upper limbs.",
12,Birth Outcomes,5,Death (infants),Death (infants),Death (infants),Death among children under 1 year old.,
12,Birth Outcomes,4,Low birthweight at full term,Low birthweight at full term,Low birthweight at full term,"Low birth weight is when a baby weighs less than 5 lbs, 8 oz at full term.",
12,Birth Outcomes,6,Death (neonatal),Death (neonatal),Death (neonatal),Deaths among children less than 28 days old.,
12,Birth Outcomes,7,Death (perinatal),Death (perinatal),Death (perinatal),Deaths from 28 weeks of preganancy to 6 days old.,
12,Birth Outcomes,8,Death (postneonatal),Death (postneonatal),Death (postneonatal),Deaths from 28 days old to 1 year old.,
12,Birth Outcomes,1,Preterm birth,Preterm birth,Preterm birth,Birth at fewer than 37 weeks gestational age.,
12,Birth Outcomes,10,Sex ratio,Sex ratio,Sex ratio,The ratio of male to female births.,
12,Birth Outcomes,9,Total lifetime fertility,Total lifetime fertility,Total lifetime fertility,"A measure of total birth rate, expressed as the number of children per 1,000 women.",
12,Birth Outcomes,3,Very low birthweight,Very low birthweight,Very low birthweight,"Very low birth weight is when a baby weighs less than 3 lbs, 5 oz.",
12,Birth Outcomes,2,Very preterm birth,Very preterm birth,Very preterm birth,Birth at fewer than 32 weeks gestational age.,
39,Cancer,74,Acute myeloid leukemia,Acute myeloid leukemia,Acute myeloid leukemia,Acute myeloid leukemia is a cancer of the blood and bone marrow.,
39,Cancer,2096,Bladder cancer,Bladder cancer,Bladder cancer,Bladder cancer is a common type of cancer. It typically affects older adults.,
39,Cancer,66,Brain and other nervous system cancer,Brain and other nervous system cancer,Brain and other nervous system cancer,Brain and other nervous system cancers are tumors that start in the brain or spinal cord.,
39,Cancer,60,Breast cancer (in females),Breast cancer (in females),Breast cancer (in females),Breast cancer is a common cancer. It is more common among females.,
39,Cancer,770,Chronic lymphocytic leukemia,Chronic lymphocytic leukemia,Chronic lymphocytic leukemia,Chronic lymphocytic leukemia (CLL) is a cancer that starts from white blood cells in bone marrow.,
39,Cancer,2077,Esophageal cancer,Esophageal cancer,Esophageal cancer,"Esophageal cancer forms in the tissues of the esophagus, in the throat.",
39,Cancer,2087,Kidney and renal pelvis cancer,Kidney and renal pelvis cancer,Kidney and renal pelvis cancer,Kidney and renal pelvis cancers start in the kidney.,
39,Cancer,2088,Larynx cancer,Larynx cancer,Larynx cancer,Larynx cancer starts in the tissues of the larynx.,
39,Cancer,73,Leukemia,Leukemia,Leukemia,Leukemia is a general term for cancer of blood cells.,
39,Cancer,2089,Liver and intrahepatic bile duct cancer,Liver and intrahepatic bile duct cancer,Liver and intrahepatic bile duct cancer,Cancers of the liver and intrahepatic bile duct.,
39,Cancer,63,Lung and bronchus cancer,Lung and bronchus cancer,Lung and bronchus cancer,Cancers in the lung or bronchus.,
39,Cancer,2090,Melanoma of the skin,Melanoma of the skin,Melanoma of the skin,A dangerous form of skin cancer.,
39,Cancer,2095,Mesothelioma,Mesothelioma,Mesothelioma,A cancer caused by exposure to asbestos.,
39,Cancer,71,Non-Hodgkin's lymphomas,Non-Hodgkin's lymphomas,Non-Hodgkin's lymphomas,"A cancer that starts in the lymphatic system, part of the body's immune system.",
39,Cancer,2091,Oral cavity and pharynx cancer,Oral cavity and pharynx cancer,Oral cavity and pharynx cancer,Cancers of the mouth and throat.,
39,Cancer,64,Pancreatic cancer,Pancreatic cancer,Pancreatic cancer,Cancer of the pancreas.,
39,Cancer,690,Thyroid cancer,Thyroid cancer,Thyroid cancer,"Cancer of the thyroid, a gland in the neck.",
93,Cancers in Children,2037,Acute lymphocytic leukemia (children),Acute lymphocytic leukemia (children),Acute lymphocytic leukemia (children),A cancer of the blood and bone marrow.,
93,Cancers in Children,2035,Acute myeloid leukemia (children),Acute myeloid leukemia (children),Acute myeloid leukemia (children),A cancer of the blood and bone marrow.,
93,Cancers in Children,2033,Brain and other nervous system cancer (children),Brain and other nervous system cancer (children),Brain and other nervous system cancer (children),Brain and other nervous system cancers are tumors that start in the brain or spinal cord.,
93,Cancers in Children,2031,Leukemia (children),Leukemia (children),Leukemia (children),Leukemia is a general term for cancer of blood cells.,
93,Cancers in Children,2039,All cancer (children),All cancer (children),All cancer (children),A group of diseases where cells grow abnormally.,
51,Carbon Monoxide Incidents,2405,Carbon monoxide emergency department visits,,Carbon monoxide emergency department visits,Carbon monoxide exposure can be life-threatening or fatal. ED visits and hospitalizations allows us to understand the burden of CO-related health impacts.,
51,Carbon Monoxide Incidents,2406,Carbon monoxide hospitalizations,,Carbon monoxide hospitalizations,Carbon monoxide exposure can be life-threatening or fatal. ED visits and hospitalizations allows us to understand the burden of CO-related health impacts.,
51,Carbon Monoxide Incidents,38,Carbon monoxide incidents,,Carbon monoxide incidents,A carbon monoxide incident is a leak where the Fire Department measures at least 1 ppm at the scene.,
51,Carbon Monoxide Incidents,2168,Carbon monoxide incidents (without a detector),Carbon monoxide,Carbon monoxide incidents (without a detector),Carbon monoxide detectors are required in NYC homes by law. Failure to provide or maintain a detector can put people at risk for carbon monoxide poisoning and death.,
15,Carbon Monoxide Poisoning,2398,Carbon monoxide deaths,,Carbon monoxide deaths,A death due to carbon monoxide may be fire-related or non-fire-related.,
15,Carbon Monoxide Poisoning,2405,Carbon monoxide emergency department visits,,Carbon monoxide emergency department visits,Carbon monoxide exposure can be life-threatening or fatal. ED visits and hospitalizations allows us to understand the burden of CO-related health impacts.,
15,Carbon Monoxide Poisoning,2406,Carbon monoxide hospitalizations,,Carbon monoxide hospitalizations,Carbon monoxide exposure can be life-threatening or fatal. ED visits and hospitalizations allows us to understand the burden of CO-related health impacts.,
14,Childhood Lead Exposure,2189,Lead testing (by age 3),Lead testing,Lead testing (by age 3),"In New York State, all children must be tested for lead before age 3. There is no safe level of lead in the blood.",
14,Childhood Lead Exposure,2184,Elevated blood levels (under age 6),Child lead poisoning,Elevated blood levels (under age 6),"Elevated blood lead levels are 5+ mcg/dL. There is no safe level of lead in the blood. Lead poisoning can cause learning and behavior problems, and delay growth and mental development.",
14,Childhood Lead Exposure,2216,"Elevated blood levels (under age 6), by NTA","Child lead poisoning, by NTA","Elevated blood levels (under age 6), by NTA","Elevated blood lead levels are 5+ mcg/dL. There is no safe level of lead in the blood. Lead poisoning can cause learning and behavior problems, and delay growth and mental development.",
123,Chronic Obstructive Pulmonary Disease,2343,Chronic Obstructive Pulmonary Disease Emergency Department Visits,,Emergency Department Visits,,
123,Chronic Obstructive Pulmonary Disease,2341,Chronic Obstructive Pulmonary Disease Hospitalization,,Hospitalization,,
3,Cigarette Smoke,25,Secondhand smoke at home,Secondhand smoke,Secondhand smoke at home,"Adults reporting secondhand smoke at home. Secondhand smoke, especially indoors, is bad for health - especially for the health of children.",
3,Cigarette Smoke,2338,Secondhand smoke at home (from outside sources),Secondhand smoke (from outside),Secondhand smoke at home (from outside sources),"Adults reporting secondhand smoke at home, from outside sources. Secondhand smoke, especially indoors, is bad for health - especially for the health of children.",
3,Cigarette Smoke,2020,Secondhand smoke at work,Secondhand smoke at work,Secondhand smoke at work,"Adults reporting secondhand smoke at work. Secondhand smoke, especially indoors, is bad for health.",
3,Cigarette Smoke,2017,No smoke-free home policy,Smoke-free homes,No smoke-free home policy,"Adults without a smoke-free home policy. A smoke-free home policy can limit people's exposure to secondhand smoke, which is especially dangerous to children.",
3,Cigarette Smoke,2019,Cigarette smoking (adults),Cigarette smoking (adults),Cigarette smoking (adults),Cigarette smoking is the leading cause of preventable deaths in the USA. It causes many diseases and greatly harms health.,
3,Cigarette Smoke,2021,Cigarette smoking (youths),Cigarette smoking (youths),Cigarette smoking (youths),Cigarette smoking is the leading cause of preventable deaths in the USA. It causes many diseases and greatly harms health.,
1,Citywide Air Quality,92,Air Quality Advisory Days,,Air Quality Advisory Days,"During Air Quality Action Days, some people may experience health effects such as coughing, irritation in your throat, asthma complications or other respiratory issues. Sensitive populations may experience more serious health effects and should take actions to protect their health.",
1,Citywide Air Quality,57,Fine Particulate Matter (PM 2.5),,Fine Particulate Matter (PM <sub>2.5</sub>),"During Air Quality Action Days, some people may experience health effects such as coughing, irritation in your throat, asthma complications or other respiratory issues. Sensitive populations may experience more serious health effects and should take actions to protect their health.",
1,Citywide Air Quality,55,Ozone,,Ozone,"During Air Quality Action Days, some people may experience health effects such as coughing, irritation in your throat, asthma complications or other respiratory issues. Sensitive populations may experience more serious health effects and should take actions to protect their health.",
107,Climate,2155,Older adults with air conditioners (age 65+),Older adults with AC,Older adults with air conditioners (age 65+),Older adults (over 65) are more vulnerable to hot weather and heat stress. Air conditioning reduces the risk of heat stroke and other heat-related illness.,
107,Climate,2104,Adults with air conditioners,,Adults with air conditioners,Adults reporting having an air conditioner. Air conditioning reduces the risk of heat stroke and other heat-related illness.,
107,Climate,2141,Daytime summer surface temperature,Surface temperature,Daytime summer surface temperature,"Surface temperatures vary based on vegetative cover (which promotes cooling), as well as by materials that retain heat (like paved roads, sidewalks, and buildings). Hotter neighborhoods tend to have more heat-exacerbated deaths associated with extreme heat events.",
100,Weather-Related Illness,2084,Heat events,Heat events,Heat events,"Heat events threaten health. More people die due to extreme heat than all other extreme weather events combined. As the climate continues to warm, we can expect more severe and more frequent heat events.",
107,Climate,2191,Heat vulnerability index,Heat Vulnerability Index,Heat vulnerability index,"The HVI shows the risk of community-level heat impacts, like deaths, due to extreme heat events. It is made up of data on surface temperature, green space, air conditioning access, poverty, and Black population (the population most excluded from heat resources). Differences in community-level heat impacts stem from structural racism, which limits access to preventive resources.",
107,Climate,2411,Heat vulnerability index (NTA),Heat Vulnerability Index,Heat vulnerability index (NTA),"The HVI shows the risk of community-level heat impacts, like deaths, due to extreme heat events. It is made up of data on surface temperature, green space, air conditioning access, poverty, and Black population (the population most excluded from heat resources). Differences in community-level heat impacts stem from structural racism, which limits access to preventive resources.",
,,,,,,<p>&nbsp;</p>,
107,Climate,2185,Household air conditioning,Households with AC,Household air conditioning,"Air conditioning is an important way to avoid heat stress, especially for persons with limited mobility.",
107,Climate,2377,Households using electric medical equipment,,Households using electric medical equipment,People who use electric medical equipment are more vulnerable during power outages or evacuations.,
107,Climate,2143,Vegetative cover,Grass and tree cover,Vegetative cover,"Vegetative cover is the land covered by trees, grass, or other plants. Vegetative cover tends to reduce temperatures in the immediate area.",
83,Climate Change,776,Greenhouse Gas Emissions,,Greenhouse Gas Emissions,,
8,Cockroaches,22,Adults Reporting Cockroaches in the Home,,Adults reporting cockroaches in the home,,
8,Cockroaches,2393,Children living in homes with cockroaches (ages 0-13 years),,Children living in homes with cockroaches (ages 0-13 years),,
8,Cockroaches,107,Homes with Cockroaches,Cockroaches,Homes with cockroaches,"The saliva, feces, and shedding body parts of cockroaches are an allergen and can trigger asthma.",
112,"Diabetes, High Blood Pressure and High Cholesterol",2169,Adults with Diabetes,,Adults with Diabetes,,
112,"Diabetes, High Blood Pressure and High Cholesterol",2170,Adults with High Blood Pressure,,Adults with High Blood Pressure,,
112,"Diabetes, High Blood Pressure and High Cholesterol",2171,Adults with High Cholesterol,,Adults with High Cholesterol,,
40,Disparity,13,Neighborhood Poverty,,Neighborhood Poverty,,
40,Disparity,2106,Neighborhood Race/Ethnicity - Non Hispanic Black,,Neighborhood Race/Ethnicity - Non Hispanic Black,,
40,Disparity,2107,Neighborhood Race/Ethnicity - Non Hispanic White,,Neighborhood Race/Ethnicity - Non Hispanic White,,
52,Drinking Water Quality,2044,Arsenic in Drinking Water,,Arsenic in Drinking Water,,
52,Drinking Water Quality,2043,Disinfection By-Product in Drinking Water (HAA5),,Disinfection By-Product in Drinking Water - <span>Haloacetic Acids</span> (HAA5),,
52,Drinking Water Quality,2207,Disinfection By-Product in Drinking Water (TTHM),,&nbsp;Disinfection By-Product in Drinking Water - Total Trihalomethanes (TTHM),,
52,Drinking Water Quality,2041,Nitrate in Drinking Water,,Nitrate in Drinking Water,,
86,Energy,2005,Cleaner Energy,,Cleaner Energy,,
86,Energy,2007,Energy Efficiency,,Energy Efficiency,,
86,Energy,2006,Energy Reliability,,Energy Reliability,,
108,Falls Among Older Adults,2135,Fall-related emergency department visits among older adults,,Fall-related emergency department visits among older adults,,
108,Falls Among Older Adults,2136,Fall-related hospitalizations among older adults,,Fall-related hospitalizations among older adults,,
108,Falls Among Older Adults,2408,Home fall-related emergency department visits among older adults,,Home fall-related emergency department visits among older adults,,
108,Falls Among Older Adults,2409,Home fall-related hospitalizations among older adults,,Home fall-related hospitalizations among older adults,,
108,Falls Among Older Adults,2403,Homes with reported falls among adults 65 and older,,Homes with reported falls among adults 65 and older,,
121,Health Care,2151,Adults with a Personal Doctor,,Adults with a Personal Doctor,,
121,Health Care,2132,Adults with Health Insurance,Health insurance (adults),Adults with Health Insurance,"<p>Health insurance coverage is associated with numerous beneficial health effects. Those with health insurance are more likely to have a regular doctor, receive preventive care services, better manage chronic health conditions, have longer life expectancy, and more.</p>",
121,Health Care,2401,Households that postponed health care in the last 12 months,,Households that postponed health care in the last 12 months,,
121,Health Care,2322,Premature Mortality,Death before 65,Premature Mortality,The rate of people who die before age 65 can indicate the overall health of a population.,
121,Health Care,2232,Self-Reported Health,,Self-Reported Health,,
103,Health Impacts of Air Pollution,2122,Asthma ED visits due to Ozone,Ozone asthma ED visits (children),Asthma ED visits due to Ozone,"Ozone can cause asthma ED visits, which are part of the health burden of  air pollution.",
103,Health Impacts of Air Pollution,2124,Asthma hospitalizations due to Ozone,Ozone asthma hospitalizations (children),Asthma hospitalizations due to Ozone,"Ozone can cause hospitalizations for asthma, which are part of the health burden of air pollution.",
103,Health Impacts of Air Pollution,2121,Cardiac and respiratory deaths due to Ozone,Deaths from ozone,Cardiac and respiratory deaths due to Ozone,Estimating heart and respiratory deaths that can be linked to ozone is a way to understand how air pollution increases mortality.,
103,Health Impacts of Air Pollution,2117,Asthma ED visits due to PM2.5,PM2.5 asthma ED visits (children),Asthma ED visits due to PM2.5,"PM2.5 can cause asthma ED visits, which represent part of the health burden of fine particle air pollution.",
103,Health Impacts of Air Pollution,2120,Cardiovascular hospitalizations due to PM2.5 (age 40+),PM2.5 health burden (heart),Cardiovascular hospitalizations due to PM2.5 (age 40+),"PM2.5 can cause cardiovascular hospitalizations, which represent part of the health burden of fine particle air pollution.",
103,Health Impacts of Air Pollution,2108,Deaths due to PM2.5,Deaths from PM2.5,Deaths due to PM2.5,Estimating deaths that can be linked to PM2.5 is a way to understand how air pollution increases mortality.,
103,Health Impacts of Air Pollution,2119,Respiratory hospitalizations due to PM2.5 (age 20+),PM2.5 health burden (lungs),Respiratory hospitalizations due to PM2.5 (age 20+),Estimating hospitalizations that can be linked to PM2.5 is a way to understand how air pollution impacts public health.  ,
127,Healthy Eating,2097,Adult Consumption of 1 or More Sugary Drinks Per Day,,Adult Consumption of 1 or More Sugary Drinks Per Day,,
127,Healthy Eating,2389,Unhealthy Food Access,,Unhealthy Food Access,,
127,Healthy Eating,2098,Youth Consumption of 1 or More Sugary Drinks Per Day,,Youth Consumption of 1 or More Sugary Drinks Per Day,,
13,Heart Attacks,90,Heart Attack Hospitalizations,Heart attacks,Heart Attack Hospitalizations,"Heart attacks can stem from genetic, lifestyle, and environmental factors including ambient air pollution and second-hand smoke.",
36,Housing,2101,Mold in homes,Mold,Mold in homes,"Adults reporting mold in the home. Mold can worsen respiratory conditions like asthma, and indicate maintenance deficiencies in a building.",
36,Housing,25,Secondhand smoke at home,Secondhand smoke,Secondhand smoke at home,"Adults reporting secondhand smoke at home. Secondhand smoke, especially indoors, is bad for health - especially for the health of children.",
36,Housing,2396,Children in homes with supplemental heat (age 13 and under),,Children in homes with supplemental heat (age 13 and under),"The need for supplemental heat may mean a building's main heat source doesn't work - and can indicate the presence of other health-threatening maintenance deficiencies, which can harm children's health.",
36,Housing,2393,Children in homes with cockroaches (age 13 and under),,Children in homes with cockroaches (age 13 and under),"The saliva, feces, and shedding body parts of cockroaches are an allergen and can trigger asthma - which is a special concern for children's health.",
36,Housing,2395,Children in homes with cracks or holes (age 13 and under),,Children in homes with cracks or holes (age 13 and under),"Cracks or holes are a maintenance deficiency linked to the presence of mice, rats, and cockroaches - which can harm children's health.",
36,Housing,2394,Children in homes with mice (age 13 and under),,Children in homes with mice (age 13 and under),The presence of mice or rats in the home is often associated with poor housing maintenance. These pests can contaminate food and worsen asthma.,
