subtopic_id,Subtopic,internal_id,Indicator,short_name,label,description,message
11,Asthma,2149,Public School Children (5-14 Yrs Old) with Persistent Asthma,,Public school children (age 5-14) with persistent asthma,,
11,Asthma,2339,Youth Asthma in the Past 12 Months,,Youth asthma in the past 12 months,,Youth Asthma in the Past 12 Months
92,Bed Bugs,2030,Adults Reporting Bed Bugs in their Home,,Adults Reporting Bed Bugs in their Home,,
16,Birth Defects,26,Anencephaly,,Anencephaly,,
16,Birth Defects,30,Cleft Lip with or without Cleft Palate,,Cleft Lip with or without Cleft Palate,,Cleft Lip with or without Cleft Palate among Live Births
16,Birth Defects,31,Cleft Palate without Cleft Lip,,Cleft Palate without Cleft Lip,,Cleft Palate without Cleft Lip among Live Births
16,Birth Defects,36,Down Syndrome / Trisomy 21 (Maternal Age < 35 Yrs),,Down Syndrome / Trisomy 21 (Maternal Age &lt; 35 Yrs),,
16,Birth Defects,37,Down Syndrome / Trisomy 21 (Maternal Age 35 Yrs and Over),,Down Syndrome / Trisomy 21 (Maternal Age 35 Yrs and Over),,
16,Birth Defects,33,Gastroschisis,,Gastroschisis,,Gastroschisis among Live Births
16,Birth Defects,28,Hypoplastic Left Heart Syndrome,,Hypoplastic Left Heart Syndrome,,Hypoplastic Left Heart Syndrome among Live Births
16,Birth Defects,32,Hypospadias,,Hypospadias,,Hypospadias among Live Births
16,Birth Defects,35,Lower Limb Deficiencies,,Lower Limb Deficiencies,,Lower Limb Deficiencies among Live Births
16,Birth Defects,27,Spina Bifida (without Anencephaly),,Spina Bifida (without Anencephaly),,Spina Bifida (without Anencephaly) among Live Births
16,Birth Defects,101,Tetralogy of Fallot,,Tetralogy of Fallot,,Tetralogy of Fallot among Live Births 
16,Birth Defects,29,Transposition of the Great Arteries (Vessels),,Transposition of the Great Arteries (Vessels),,Transposition of the Great Arteries (Vessels) among Live Births
16,Birth Defects,34,Upper Limb Deficiencies,,Upper Limb Deficiencies,,Upper Limb Deficiencies among Live Births
12,Birth Outcomes,5,Infant Death,,Infant Death,,Infant (Less than 1 Year Old) Death
12,Birth Outcomes,4,Low Birthweight at Full Term,,Low Birthweight at Full Term,,"Low Birthweight at Full Term (Birth Weight Less than 5 lbs, 8 oz)"
12,Birth Outcomes,6,Neonatal Death,,Neonatal Death,,Neonatal (Less than 28 Days Old) Death
12,Birth Outcomes,7,Perinatal Death,,Perinatal Death,,Perinatal (28 Weeks of Pregnancy to 6 Days Old) Death
12,Birth Outcomes,8,Postneonatal Death,,Postneonatal Death,,Postneonatal (28 Days to Less than 1 Year Old) Death
12,Birth Outcomes,1,Preterm Birth,,Preterm Birth,,
12,Birth Outcomes,10,Sex Ratio,,Sex Ratio,,Sex Ratio at Birth (Restricted to Term Singletons)
12,Birth Outcomes,9,Total (Lifetime) Fertility,,Total (Lifetime) Fertility,,
12,Birth Outcomes,3,Very Low Birthweight,,Very Low Birthweight,,"Very Low Birthweight (Less than 3 lbs, 5 oz)  "
12,Birth Outcomes,2,Very Preterm Birth,,Very Preterm Birth,,
39,Cancer,74,Acute Myeloid Leukemia,,Acute Myeloid Leukemia,,
39,Cancer,2096,Bladder Cancer,,Bladder Cancer,,
39,Cancer,66,Brain and Other Nervous System Cancer,,Brain and Other Nervous System Cancer,,
39,Cancer,60,Breast Cancer in Females,,Breast Cancer in Females,,
39,Cancer,770,Chronic Lymphocytic Leukemia,,Chronic Lymphocytic Leukemia,,
39,Cancer,2077,Esophageal Cancer,,Esophageal Cancer,,
39,Cancer,2087,Kidney and Renal Pelvis Cancer,,Kidney and Renal Pelvis Cancer,,
39,Cancer,2088,Larynx Cancer,,Larynx Cancer,,
39,Cancer,73,Leukemia,,Leukemia,,
39,Cancer,2089,Liver and Intrahepatic Bile Duct Cancer,,Liver and Intrahepatic Bile Duct Cancer,,
39,Cancer,63,Lung and Bronchus Cancer,,Lung and Bronchus Cancer,,
39,Cancer,2090,Melanoma of the Skin,,Melanoma of the Skin,,
39,Cancer,2095,Mesothelioma,,Mesothelioma,,
39,Cancer,71,Non-Hodgkin's Lymphomas,,Non-Hodgkin's Lymphomas,,
39,Cancer,2091,Oral Cavity and Pharynx Cancer,,Oral Cavity and Pharynx Cancer,,
39,Cancer,64,Pancreatic Cancer,,Pancreatic Cancer,,
39,Cancer,690,Thyroid Cancer,,Thyroid Cancer,,
93,Cancers in Children,2037,Acute Lymphocytic Leukemia in Children,,Acute Lymphocytic Leukemia in Children,,
93,Cancers in Children,2035,Acute Myeloid Leukemia in Children,,Acute Myeloid Leukemia in Children,,
93,Cancers in Children,2033,Brain and CNS Cancer in Children,,Brain and CNS Cancer in Children,,
93,Cancers in Children,2031,Leukemia in Children,,Leukemia in Children,,
93,Cancers in Children,2039,Total Cancer in Children,,Total Cancer in Children,,
51,Carbon Monoxide Incidents,2405,Carbon Monoxide Emergency Department Visits,,<span>Emergency Department Visits</span>,<p>Carbon monoxide exposure can be life-threatening or fatal. Maintaining surveillance of ED visits and hospitalizations allows us to understand the burden of CO-related health impacts in NYC and identify trends over time.</p>,Carbon Monoxide Emergency Department Visits
51,Carbon Monoxide Incidents,2406,Carbon Monoxide Hospitalizations,,<span>Hospitalizations</span>,<p>Carbon monoxide exposure can be life-threatening or fatal. Maintaining surveillance of ED visits and hospitalizations allows us to understand the burden of CO-related health impacts in NYC and identify trends over time.</p>,: Carbon Monoxide Hospitalizations
51,Carbon Monoxide Incidents,38,Carbon Monoxide Incidents,,Carbon Monoxide Incidents,,Carbon Monoxide Incidents (1 ppm or Higher)
51,Carbon Monoxide Incidents,2168,Carbon Monoxide Incidents without a Detector (3 Year Avg.),Carbon monoxide,Carbon Monoxide Incidents without a Detector (3 Year Avg.),Carbon monoxide detectors are required in NYC homes by law. Failure to provide or maintain a detector can put residents at risk for carbon monoxide poisoning and death.,Carbon Monoxide Incidents without a Detector (3 Year Avg.)
15,Carbon Monoxide Poisoning,2398,Carbon Monoxide Deaths,,Death: All Causes,,Carbon Monoxide Deaths
15,Carbon Monoxide Poisoning,2405,Carbon Monoxide Emergency Department Visits,,<span>Emergency Department Visits</span>,<p>Carbon monoxide exposure can be life-threatening or fatal. Maintaining surveillance of ED visits and hospitalizations allows us to understand the burden of CO-related health impacts in NYC and identify trends over time.</p>,Carbon Monoxide Emergency Department Visits
15,Carbon Monoxide Poisoning,2406,Carbon Monoxide Hospitalizations,,<span>Hospitalizations</span>,<p>Carbon monoxide exposure can be life-threatening or fatal. Maintaining surveillance of ED visits and hospitalizations allows us to understand the burden of CO-related health impacts in NYC and identify trends over time.</p>,: Carbon Monoxide Hospitalizations
14,Childhood Lead Exposure,2189,Children tested for lead by age 3 years,,Children tested for lead by age 3 years,,"Number and percent of children under 3 years of age born in New York City who have been tested for lead poisoning at least once since birth, according to the Office of Vital Statistics and the NYC LPPP. "
14,Childhood Lead Exposure,2184,Children under 6 years with elevated blood lead levels (BLL),Child lead poisoning,Children under 6 years with elevated blood lead levels (BLL),"There is no safe level of lead in the blood. Lead poisoning can cause learning and behavior problems, and delay growth and mental development.",Elevated Blood Lead Levels
14,Childhood Lead Exposure,2216,Children under 6 years with elevated blood lead levels by NTA,,Children under 6 years with elevated blood lead levels by NTA (Preliminary Data),"<p>Children under 6 years of age with blood lead levels (BLL) at or above 5 mcg/dL, by neighborhood tabulation area (NTA).&nbsp;<a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/dwn-nynta.page"">Read more</a> about neighborhood tabulation areas.</p>",Children under 6 years with elevated blood lead levels by NTA
123,Chronic Obstructive Pulmonary Disease,2343,Chronic Obstructive Pulmonary Disease Emergency Department Visits,,Emergency Department Visits,,COPD Emergency Department Visits
123,Chronic Obstructive Pulmonary Disease,2341,Chronic Obstructive Pulmonary Disease Hospitalization,,Hospitalization,,COPD Hospitalization
3,Cigarette Smoke,25,Adults Reporting Secondhand Smoke at Home,Secondhand smoke,Adults reporting secondhand smoke at home,"Secondhand smoke, especially indoors, is bad for health - especially for the health of children.",
3,Cigarette Smoke,2338,Adults Reporting Secondhand Smoke at Home from Outside Sources,,Adults Reporting Secondhand Smoke at Home from Outside Sources,,Adults Reporting Secondhand Smoke at Home from Outside Sources
3,Cigarette Smoke,2020,Adults Reporting Secondhand Smoke at Work,,Adults Reporting Secondhand Smoke at Work,,
3,Cigarette Smoke,2017,Adults without a Smoke-Free Home Policy,Smoke-free homes,Adults without a Smoke-Free Home Policy,"A smoke-free home policy can limit people's exposure to secondhand smoke, which is especially dangerous to children.",
3,Cigarette Smoke,2019,Cigarette Smoking among Adults,,Cigarette Smoking among Adults,,
3,Cigarette Smoke,2021,Cigarette Smoking among Youths,,Cigarette Smoking among Youths,,
1,Citywide Air Quality,92,Air Quality Advisory Days,,Air Quality Advisory Days,,Air Quality Advisory Days due to Ozone or PM 2.5 Levels above Regulatory Standard
1,Citywide Air Quality,57,Fine Particulate Matter (PM 2.5),,Fine Particulate Matter (PM <sub>2.5</sub>),,
1,Citywide Air Quality,55,Ozone,,Ozone,,Maximum 8-Hour Average Ozone Concentration over the National Ambient Air Quality Standard
107,Climate,2155,Adults 65+ Reporting Air Conditioning in the Home,Older adults with AC,Adults 65+ Reporting Air Conditioning in the Home,Adults over the age of 65 are more vulnerable to hot weather and heat stress. Air conditioning (AC) can substantially reduce the risk of heat stroke and other heat-related illness.,
107,Climate,2104,Adults Reporting Air Conditioning in the Home,,Adults Reporting Air Conditioning in the Home,,
107,Climate,2141,Daytime Summer Surface Temperature,Surface temperature,Daytime Summer Surface Temperature,"Surface temperatures in NYC may vary as a function of vegetative land cover, which promotes cooling, or cover by paved roads, sidewalks, and buildings, which retain heat.",Daytime summer temperature (degrees Fahrenheit)
107,Climate,2084,Heat Events,,Heat Events,,
107,Climate,2191,Heat Vulnerability Index,,Heat Vulnerability Index,"<p><span>The New York City (NYC) Heat Vulnerability Index (HVI) is a measure of how the risk of heat-related illness or death differs across neighborhoods. Neighborhood risk factors that increase heat- vulnerability in NYC are: less home air conditioning, less green space, hotter surface temperatures, and more residents who are low-income or non-Latinx Black. Differences in these risk factors across neighborhoods are rooted in past and present racism.&nbsp;</span></p>",Heat Vulnerability Index
107,Climate,2411,Heat Vulnerability Index by NTA,,Heat Vulnerability Index by NTA,"<p><span>The New York City (NYC) Heat Vulnerability Index (HVI) is a measure of how the risk of heat-related illness or death differs across neighborhoods. Neighborhood risk factors that increase heat- vulnerability in NYC are: less home air conditioning, less green space, hotter surface temperatures, and more residents who are low-income or non-Latinx Black. Differences in these risk factors across neighborhoods are rooted in past and present racism.</span></p>",Heat Vulnerability Index by NTA
,,,,,,<p>&nbsp;</p>,
107,Climate,2185,Households reporting air conditioning,Households with AC,Households reporting air conditioning,"Air conditioning is an important way to avoid heat stress, especially for persons with limited mobility.",Homes reporting air conditioning
107,Climate,2377,Households reporting someone who uses electric medical equipment,,Households reporting someone who uses electric medical equipment,,Households reporting someone using electric medical equipment
107,Climate,2143,Vegetative Cover,Grass and tree cover,Vegetative Cover,"<p>Vegetative cover is the land covered by trees, grass, or other plants. This area is not covered by a hard surface such as paved roads, sidewalks, or buildings. <a href=""https://www.epa.gov/heat-islands/using-trees-and-vegetation-reduce-heat-islands"">Vegetative cover tends to reduce temperatures in the immediate area</a>.</p>","Percent of area with vegetative cover, including grass and trees"
83,Climate Change,776,Greenhouse Gas Emissions,,Greenhouse Gas Emissions,,
8,Cockroaches,22,Adults Reporting Cockroaches in the Home,,Adults reporting cockroaches in the home,,
8,Cockroaches,2393,Children living in homes with cockroaches (ages 0-13 years),,Children living in homes with cockroaches (ages 0-13 years),,Children ages 0-13 living in homes with cockroaches
8,Cockroaches,107,Homes with Cockroaches,Cockroaches,Homes with cockroaches,"The saliva, feces, and shedding body parts of cockroaches are an allergen and can trigger asthma.",
112,"Diabetes, High Blood Pressure and High Cholesterol",2169,Adults with Diabetes,,Adults with Diabetes,,Adults with Diabetes
112,"Diabetes, High Blood Pressure and High Cholesterol",2170,Adults with High Blood Pressure,,Adults with High Blood Pressure,,Adults with Hypertension
112,"Diabetes, High Blood Pressure and High Cholesterol",2171,Adults with High Cholesterol,,Adults with High Cholesterol,,Adults with High Cholesterol
40,Disparity,13,Neighborhood Poverty,,Neighborhood Poverty,,
40,Disparity,2106,Neighborhood Race/Ethnicity - Non Hispanic Black,,Neighborhood Race/Ethnicity - Non Hispanic Black,,
40,Disparity,2107,Neighborhood Race/Ethnicity - Non Hispanic White,,Neighborhood Race/Ethnicity - Non Hispanic White,,
52,Drinking Water Quality,2044,Arsenic in Drinking Water,,Arsenic in Drinking Water,,
52,Drinking Water Quality,2043,Disinfection By-Product in Drinking Water (HAA5),,Disinfection By-Product in Drinking Water - <span>Haloacetic Acids</span> (HAA5),,
52,Drinking Water Quality,2207,Disinfection By-Product in Drinking Water (TTHM),,&nbsp;Disinfection By-Product in Drinking Water - Total Trihalomethanes (TTHM),,Disinfection By-Product in Drinking Water (TTHM)
52,Drinking Water Quality,2041,Nitrate in Drinking Water,,Nitrate in Drinking Water,,
86,Energy,2005,Cleaner Energy,,Cleaner Energy,,
86,Energy,2007,Energy Efficiency,,Energy Efficiency,,
86,Energy,2006,Energy Reliability,,Energy Reliability,,
108,Falls Among Older Adults,2135,Fall-related emergency department visits among older adults,,Fall-related emergency department visits among older adults,,
108,Falls Among Older Adults,2136,Fall-related hospitalizations among older adults,,Fall-related hospitalizations among older adults,,
108,Falls Among Older Adults,2408,Home fall-related emergency department visits among older adults,,Home fall-related emergency department visits among older adults,,Home Fall-Related Emergency Department Visits
108,Falls Among Older Adults,2409,Home fall-related hospitalizations among older adults,,Home fall-related hospitalizations among older adults,,Home fall-related hospitalizations
108,Falls Among Older Adults,2403,Homes with reported falls among adults 65 and older,,Homes with reported falls among adults 65 and older,,Homes with reported falls among adults 65 and older
121,Health Care,2151,Adults with a Personal Doctor,,Adults with a Personal Doctor,,
121,Health Care,2132,Adults with Health Insurance,Health insurance (adults),Adults with Health Insurance,"<p>Health insurance coverage is associated with numerous beneficial health effects. Those with health insurance are more likely to have a regular doctor, receive preventive care services, better manage chronic health conditions, have longer life expectancy, and more.</p>",
121,Health Care,2401,Households that postponed health care in the last 12 months,,Households that postponed health care in the last 12 months,,Households that postponed health care in the last 12 months
121,Health Care,2322,Premature Mortality,Death before 65,Premature Mortality,The rate of people who die before age 65 can indicate the overall health of a population.,Premature Mortality
121,Health Care,2232,Self-Reported Health,,Self-Reported Health,,
103,Health Impacts of Air Pollution,2122,O3-Attributable Asthma Emergency Department Visits,Ozone asthma ED visits (children),O<sub>3</sub>-Attributable Asthma Emergency Department Visits,Ozone-attributable asthma ED visits represent part of the health burden of ozone air pollution.,
103,Health Impacts of Air Pollution,2124,O3-Attributable Asthma Hospitalizations,Ozone asthma hospitalizations (children),O<sub>3</sub>-Attributable Asthma Hospitalizations,<p>Ozone-attributable asthma hospitalizations represent part of the health burden of ozone air pollution.</p>,
103,Health Impacts of Air Pollution,2121,O3-Attributable Cardiac and Respiratory Deaths,Deaths from ozone,O<sub>3</sub>-Attributable Cardiac and Respiratory Deaths,<p>Estimating heart and respiratory deaths that can be linked to ozone is a way to understand how air pollution increases mortality.</p>,
103,Health Impacts of Air Pollution,2117,PM2.5-Attributable Asthma Emergency Department Visits,PM2.5 asthma ED visits (children),PM<sub>2.5</sub>-Attributable Asthma Emergency Department Visits,<p>PM2.5-attributable asthma ED visits represent part of the health burden imposed by fine particle air pollution.</p>,
103,Health Impacts of Air Pollution,2120,PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older),PM2.5 health burden (heart),PM<sub>2.5</sub>-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older),<p>PM2.5-attributable cardiovascular hospitalizations represent part of the health burden imposed by fine particle air pollution.</p>,
103,Health Impacts of Air Pollution,2108,PM2.5-Attributable Deaths,Deaths from PM2.5,PM<sub>2.5</sub>-Attributable Deaths,<p>Estimating deaths that can be linked to PM2.5 is a way to understand how air pollution increases mortality.</p>,
103,Health Impacts of Air Pollution,2119,PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older),PM2.5 health burden (lungs),PM<sub>2.5</sub>-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older),Estimating hospitalizations that can be linked to PM2.5 is a way to understand how air pollution impacts public health.  ,
127,Healthy Eating,2097,Adult Consumption of 1 or More Sugary Drinks Per Day,,Adult Consumption of 1 or More Sugary Drinks Per Day,,Average sugary drink consumption 
127,Healthy Eating,2389,Unhealthy Food Access,,Unhealthy Food Access,,Food Access
127,Healthy Eating,2098,Youth Consumption of 1 or More Sugary Drinks Per Day,,Youth Consumption of 1 or More Sugary Drinks Per Day,,pending
13,Heart Attacks,90,Heart Attack Hospitalizations,Heart attacks,Heart Attack Hospitalizations,"Heart attacks can stem from genetic, lifestyle, and environmental factors including ambient air pollution and second-hand smoke.",
36,Housing,2101,Adults Reporting Mold in the Home,Mold,Adults reporting mold in the home,"Mold can worsen respiratory conditions like asthma, and indicate maintenance deficiencies in a building.",TBA
36,Housing,25,Adults Reporting Secondhand Smoke at Home,Secondhand smoke,Adults reporting secondhand smoke at home,"Secondhand smoke, especially indoors, is bad for health - especially for the health of children.",
36,Housing,2396,Children living in homes using supplemental heat (ages 0-13 years),,Children living in homes using supplemental heat (ages 0-13 years),,Children ages 0-13 living in homes using supplemental heat
36,Housing,2393,Children living in homes with cockroaches (ages 0-13 years),,Children living in homes with cockroaches (ages 0-13 years),,Children ages 0-13 living in homes with cockroaches
36,Housing,2395,Children living in homes with cracks or holes (ages 0-13 years),,Children living in homes with cracks or holes (ages 0-13 years),,Children ages 0-13 living in homes with cracks or holes
36,Housing,2394,Children living in homes with mice (ages 0-13  years),,Children living in homes with mice (ages 0-13&nbsp; years),,Children ages 0-13 living in homes with mice
